Tipo de ensayo;"Número de
análisis";Entidad comercial remitente;"Valor obtenido
del ensayo"
Granulometría - Malla 4000 µm;7746;GRANAM;47,50
Granulometría - Malla 4000 µm;7749;GRANAM;46,80
Granulometría - Malla 4000 µm;7753;GRANAM;43,50
Granulometría - Malla 4000 µm;7785;GRANAM;43,00
Granulometría - Malla 4000 µm;7793;GRUPO ALIMENTICIO S.A.;44,90
Granulometría - Malla 4000 µm;7799;GRANAM;41,50
Granulometría - Malla 4000 µm;7807;GRUPO ALIMENTICIO S.A.;50,10
Granulometría - Malla 4000 µm;7808;GRANAM;41,10
Granulometría - Malla 4000 µm;7815;GRUPO ALIMENTICIO S.A.;49,30
Granulometría - Malla 4000 µm;7827;GRANAM;38,10
Granulometría - Malla 4000 µm;7828;GRUPO ALIMENTICIO S.A.;49,30
Granulometría - Malla 4000 µm;7829;GRUPO ALIMENTICIO S.A.;43,40
Granulometría - Malla 4000 µm;7821;GRANAM;37,30
Granulometría - Malla 4000 µm;7832;GRANAM;37,30
Granulometría - Malla 4000 µm;7833;GRUPO ALIMENTICIO S.A.;47,80
Granulometría - Malla 4000 µm;7837;GRUPO ALIMENTICIO S.A.;48,00
Granulometría - Malla 4000 µm;7842;GRUPO ALIMENTICIO S.A.;50,60
Granulometría - Malla 4000 µm;7856;GRUPO ALIMENTICIO S.A.;42,80
Granulometría - Malla 4000 µm;7869;GRUPO ALIMENTICIO S.A.;47,50
Granulometría - Malla 4000 µm;7883;GRUPO ALIMENTICIO S.A.;48,80
Granulometría - Malla 4000 µm;7884;GRUPO ALIMENTICIO S.A.;46,90
Granulometría - Malla 4000 µm;7894;GRANAM;36,10
Granulometría - Malla 4000 µm;7954;GRUPO ALIMENTICIO S.A.;45,60
Granulometría - Malla 4000 µm;7958;GRANAM;35,60
Granulometría - Malla 4000 µm;7989;ALIMENTOS TANDIL S.A.;41,10
Granulometría - Malla 4000 µm;7990;ALIMENTOS TANDIL S.A.;50,30
Granulometría - Malla 4000 µm;7993;GRUPO ALIMENTICIO S.A.;42,80
Granulometría - Malla 4000 µm;8002;GRUPO ALIMENTICIO S.A.;42,90
Granulometría - Malla 4000 µm;8006;GRUPO ALIMENTICIO S.A.;36,70
Granulometría - Malla 4000 µm;8017;GRANAM;43,10
Granulometría - Malla 4000 µm;8026;GRANAM;40,70
Granulometría - Malla 4000 µm;8032;ALIMENTOS TANDIL S.A.;40,30
Granulometría - Malla 4000 µm;8040;GRANAM;37,00
Granulometría - Malla 4000 µm;8046;GRUPO ALIMENTICIO S.A.;42,10
Granulometría - Malla 4000 µm;8048;GRUPO ALIMENTICIO S.A.;43,60
Granulometría - Malla 4000 µm;8052;GRANAM;43,70
Granulometría - Malla 4000 µm;8053;GRUPO ALIMENTICIO S.A.;47,90
Granulometría - Malla 4000 µm;8067;GRUPO ALIMENTICIO S.A.;44,50
Granulometría - Malla 4000 µm;8071;GRUPO ALIMENTICIO S.A.;45,10
Granulometría - Malla 4000 µm;8072;GRUPO ALIMENTICIO S.A.;47,50
Granulometría - Malla 4000 µm;8074;ALIMENTOS TANDIL S.A.;44,20
Granulometría - Malla 4000 µm;8085;GRANAM;45,70
Granulometría - Malla 4000 µm;8086;GRUPO ALIMENTICIO S.A.;48,90
Granulometría - Malla 4000 µm;8087;GRUPO ALIMENTICIO S.A.;46,20
Granulometría - Malla 4000 µm;8092;ALIMENTOS TANDIL S.A.;45,80
Granulometría - Malla 4000 µm;8107;ALIMENTOS TANDIL S.A.;43,20
Granulometría - Malla 4000 µm;8109;GRANAM;40,80
Granulometría - Malla 4000 µm;8130;GRUPO ALIMENTICIO S.A.;46,40
Granulometría - Malla 4000 µm;8143;GRUPO ALIMENTICIO S.A.;46,50
Granulometría - Malla 4000 µm;8208;GRUPO ALIMENTICIO S.A.;51,40
Granulometría - Malla 4000 µm;8215;GRUPO ALIMENTICIO S.A.;43,50
Granulometría - Malla 4000 µm;8216;GRUPO ALIMENTICIO S.A.;44,90
Granulometría - Malla 4000 µm;8217;GRANAM;36,10
Granulometría - Malla 4000 µm;8236;GRUPO ALIMENTICIO S.A.;44,10
Granulometría - Malla 4000 µm;8237;GRANAM;40,00
Granulometría - Malla 4000 µm;8246;ALIMENTOS TANDIL S.A.;39,90
Granulometría - Malla 4000 µm;8255;GRUPO ALIMENTICIO S.A.;49,10
Granulometría - Malla 4000 µm;8259;GRUPO ALIMENTICIO S.A.;45,50
Granulometría - Malla 4000 µm;8263;ALIMENTOS TANDIL S.A.;48,50
Granulometría - Malla 4000 µm;8264;GRUPO ALIMENTICIO S.A.;46,00
Granulometría - Malla 4000 µm;8266;GRANAM;43,10
